path,category,match_lines,gate67_lines,bytes,sha256
.superdesign/init/layouts.md,其他资料/研究/设计历史：按对象与日期继承,3,0,42032,740b128287a15654d121d04386f06fd9a36dc8e8020bd8f6364cc26f15667a78
.superdesign/resume.json,其他资料/研究/设计历史：按对象与日期继承,21,2,27251,61f32079c1c3518882626bf53260a4a12b4791a595ac45df849123f329f1d945
.superdesign/tmp/doc-reach-gate3-before-gate4.html,其他资料/研究/设计历史：按对象与日期继承,1,0,32693,9ae67e19f05072c6725251876b760c79444af2dd11e6f46cd715637e721a14e0
.superdesign/tmp/doc-reach-gate3-imported-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,1,0,32693,9ae67e19f05072c6725251876b760c79444af2dd11e6f46cd715637e721a14e0
.superdesign/tmp/doc-reach-gate4-approved-v1.html,其他资料/研究/设计历史：按对象与日期继承,2,0,36970,345664fb28ec3dd0b14eb2109fed5bf41d90f252c061a19d3b93716f13aaea59
.superdesign/tmp/doc-reach-gate4-direction-a-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,2,0,36970,345664fb28ec3dd0b14eb2109fed5bf41d90f252c061a19d3b93716f13aaea59
.superdesign/tmp/doc-reach-gate5-full-visual-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,3,0,37501,80e1bae01aefc935ce473c70b231ec72674859f18a390ed63b1a9efe76890437
.superdesign/tmp/doc-tds-gate4-baseline.html,其他资料/研究/设计历史：按对象与日期继承,2,0,39316,c95427db7ea34da828cb4d483b26bf6b93bd3fe1cf52049008901d54ad76409e
.superdesign/tmp/doc-tds-gate4-direction-a.html,其他资料/研究/设计历史：按对象与日期继承,3,0,49254,33e6ee0903fd0f559b8745ad8c2254831c98dcf1d132c1e83a8edd58ad5f0b89
.superdesign/tmp/res-origin-gate4-procurement-evidence-ledger-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,1,0,31209,d4b531550e1a8a6bf73ca1bd456a638f8eff459f9bb8605d839c413f19bf8a66
.superdesign/tmp/res-origin-gate4-superdesign-refetch-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,1,0,31209,d4b531550e1a8a6bf73ca1bd456a638f8eff459f9bb8605d839c413f19bf8a66
.superdesign/tmp/res-proc-gate5-full-visual-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,1,0,48686,66e3e0643cd649b471aaf3b5963a49e198de4f20c4d996f0a464b0e060e4fadd
.superdesign/tmp/res-proc-gate5-superdesign-refetch-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,1,0,48686,66e3e0643cd649b471aaf3b5963a49e198de4f20c4d996f0a464b0e060e4fadd
00_PROJECT_STATUS.md,全局治理/导航/控制记录：识别现行权威,42,4,23970,c261ee5bac5add15a5d84971ee8e97b661f9c12fb7562e33fd81356e7acf02a5
01_PROJECT_INDEX.md,全局治理/导航/控制记录：识别现行权威,18,3,16841,2c93a728909e4ae4a40908716492ebda2fa241c0f0e6491e453146a7f0646e98
02_DIRECTORY_GUIDE.md,全局治理/导航/控制记录：识别现行权威,6,0,13805,9b7107f5b210c9f3bd818afac90a076a37148cf560b22d86ff8430c6ff959ca2
90_archive/governance/00_PROJECT_STATUS_V0.1.md,历史归档/快照：原样保留,1,1,8490,da4bd9b582780cad5d1b0eacf7180034b0cea9bfa3c36341521a1dae272b0ac4
90_archive/governance/00_PROJECT_STATUS_V0.2.md,历史归档/快照：原样保留,6,5,9180,22e2fbf1fc4cebc324568ebdad40067a42977a373f9e76f9f49b22dde8d8e97c
90_archive/pages/home/planning/04_homepage_full_visual_design_v0.1.md,历史归档/快照：原样保留,1,0,9666,3b7629af6c69edb91b75a1cff55962472c5e4a9eb196dac51d45da4cf9783613
90_archive/pages/home/planning/04_homepage_full_visual_design_v0.2.md,历史归档/快照：原样保留,1,0,10455,19e8804e3e8620a5463b56d8a28efdb027ba87d508fec85d277637e5ccac3297
90_archive/pages/home/planning/05_homepage_full_visual_self_check_v0.2.md,历史归档/快照：原样保留,2,0,6973,7dcf81886282212573ecb7d262835af5c1e37b9476fc3b338de0dcf605154bb3
90_archive/project-governance/2026-09-06-entry-restructure/00_PROJECT_STATUS.md,历史归档/快照：原样保留,62,10,44285,260d7ed231a919eadb402c24aa0182a4e8c9f1b916b350497623ccece7b30778
90_archive/project-governance/2026-09-06-entry-restructure/00_PROJECT_STATUS_V0.158_CONCURRENT_SNAPSHOT.md,历史归档/快照：原样保留,62,10,44456,f211f90f87f1e7f82b8336b43552a8e6d5978349b965cdde9e3904a448d2a647
90_archive/project-governance/2026-09-06-entry-restructure/01_PROJECT_INDEX.md,历史归档/快照：原样保留,521,168,163401,d999f93ab9d20eee9ef859ca4cbdbfef16ba2099de17fa1985edab32542065dc
90_archive/project-governance/2026-09-06-entry-restructure/02_DIRECTORY_GUIDE.md,历史归档/快照：原样保留,1,0,11051,630cb1cedf6ec0c1ef30b5ee707f8c1dc7a091e55e6bc842355f374c05f68632
90_archive/project-governance/2026-09-06-entry-restructure/AGENTS.md,历史归档/快照：原样保留,27,5,33801,916154edf08daf6ed847a49b6a338fc7957042341bea695f405f9f30525ab8a4
90_archive/project-governance/PAGE_BRIEF_TEMPLATE_V0.1.md,历史归档/快照：原样保留,14,2,17653,0160b67d555ac103839f4bd471f6259ecc110a67040ca67822a5fa44a6a7364c
90_archive/skills/2026-09-06/page-gate1-execution/SKILL.md,历史归档/快照：原样保留,10,0,10287,1ca0298b0613d4051194ac438b623635b545b84e009a5597edcba8cebf3bb74a
90_archive/skills/2026-09-06/page-gate1-execution/agents/openai.yaml,历史归档/快照：原样保留,2,0,396,ab2d05dfbe7afcca4675698a8e455d2ed3c241551078923efe969d635313cda2
90_archive/skills/2026-09-06/page-gate1-execution/references/acceptance-cases.md,历史归档/快照：原样保留,7,0,3984,4dcdb142fed862ee0f8f9159f08035ee0fbbcbb188e8d5594bac8d790f69af95
90_archive/skills/2026-09-06/page-gate1-execution/references/deliverables.md,历史归档/快照：原样保留,5,0,4434,a5c3d2aaf1f6c3893e65ab9be60adfdd4d1842fb946b30519b6be574cbc1d590
90_archive/skills/2026-09-06/page-gate1-execution/references/tio2-malaysia.md,历史归档/快照：原样保留,6,0,3981,f38d92f56f08e85d270d06f224a0ccd1715ce154c73bc4095b80d92588a76646
90_archive/skills/2026-09-07/gate3-method-validation/ARCHIVE_MAP.json,历史归档/快照：原样保留,800,0,177212,f2dd5c63eea862556b667a0e5c9ab3fab7706fe0348648e38d4413c3e33d307e
90_archive/skills/2026-09-07/gate3-method-validation/README.md,历史归档/快照：原样保留,3,0,2133,70b15dcdcb9ff06e4f0a42b81258a7a3c0d49c7ec8a7b0be9931491f27c4a05b
90_archive/skills/2026-09-07/gate3-method-validation/controller-evidence/handoff-check.json,历史归档/快照：原样保留,45,0,9584,548f61504ead7abac0ce095a33f777575cd201cc85f863697f1d493706642e01
90_archive/skills/2026-09-07/gate3-method-validation/design-v1/design-report.md,历史归档/快照：原样保留,51,0,21122,32d9800736a975903bd7d9980c4a471abdade451878a8e75d7e5b01d3514ac1a
90_archive/skills/2026-09-07/gate3-method-validation/design-v1/render-evidence-attempt-1.json,历史归档/快照：原样保留,5,0,1753,ce50b35449e9b3f710cfdb1514ed1553a35647fe1ef812c0ed4bd55e45a45733
90_archive/skills/2026-09-07/gate3-method-validation/design-v1/render-evidence.json,历史归档/快照：原样保留,9,0,3452,205add776a188520ab4ff60cbca499fe1e0015c684c1e3f6c4f5ae6fe2f9bdae
90_archive/skills/2026-09-07/gate3-method-validation/design-v1/report.cjs,历史归档/快照：原样保留,2,0,9809,16992bbad0af32ad36c3d15cc5383feb5c536261f502a91f30d851ae303a31d5
90_archive/skills/2026-09-07/gate3-method-validation/design-v1/supplement-evidence-attempt-1.json,历史归档/快照：原样保留,1,0,364,38c4d79b4922d964b59f0fdb04ce230d224375b95bd495f7dd33de2d41895cc0
90_archive/skills/2026-09-07/gate3-method-validation/method-snapshots/layout-interaction-verification-v1.md,历史归档/快照：原样保留,3,0,6154,f8a0320a7c918537f46c110c93a2328103ba975a5e43562ddbe6f4d94ca58f59
90_archive/skills/2026-09-07/gate3-method-validation/method-snapshots/layout-interaction-verification-v2.md,历史归档/快照：原样保留,3,0,6414,f181e8aa727fefb58e839cd37a7832e73a53b2a2b9bf42f090b00cdbe75885d7
90_archive/skills/2026-09-07/gate3-method-validation/method-snapshots/responsive-wireframe-design-v1.md,历史归档/快照：原样保留,1,0,6185,cd580382ed6ca6ff665fe21b6da787e4f6324d973e99d2cfd6ba7858a00b101c
90_archive/skills/2026-09-07/gate3-method-validation/review-a/evidence/audit.cjs,历史归档/快照：原样保留,1,0,9462,0af72bc21c85b1bc33e5a9d3676b9d8cc3e54641ad2a1bc32d62009fd50ef6b4
90_archive/skills/2026-09-07/gate3-method-validation/review-a/evidence/audit.json,历史归档/快照：原样保留,1,0,66752,c1000bf17e3ae31d982cc4644d291ede39c7c798b3f67d75c18b554d4ce3f142
90_archive/skills/2026-09-07/gate3-method-validation/review-a/evidence/menu-proof.cjs,历史归档/快照：原样保留,1,0,1102,74cd9bdc39d7500f3de9db6a3e398c189681e4b761f6bb375cad940094f6adf4
90_archive/skills/2026-09-07/gate3-method-validation/review-a/evidence/supplement.cjs,历史归档/快照：原样保留,1,0,4159,357459aedfdd4f0477446d45b654877508353f6b3e783d788d72fd269947a383
90_archive/skills/2026-09-07/gate3-method-validation/review-a/report.md,历史归档/快照：原样保留,9,0,9812,7d8bd51f5c01f28c7e2eb71fc239b3b759797c3dbf683b5a37b9b306338db1b0
90_archive/skills/2026-09-07/gate3-method-validation/review-b/evidence/asset-identity.json,历史归档/快照：原样保留,11,0,2751,ea79ffaac12b55ac053736d3e61557b763b230a6a7fffeb4a39c5b54eb624329
90_archive/skills/2026-09-07/gate3-method-validation/review-b/report.md,历史归档/快照：原样保留,4,0,8484,1d702c875156708cd33bf01e92afecf7b63e276d35e546d4c091ba772bf36598
90_archive/skills/2026-09-07/gate3-method-validation/review-c/evidence/recheck.cjs,历史归档/快照：原样保留,1,0,9907,37362ec35a01f4e51157cd3af89dd793562187e7057c93a18a53ba44b6fcb3ca
