path,original_category,action,governing_rule
.superdesign/init/layouts.md,其他资料/研究/设计历史：按对象与日期继承,PRESERVE_SPECIFIC_CONTENT_APPLY_GLOBAL_WORKFLOW_COMPATIBILITY,GATE_WORKFLOW_V2.0 §6–6.1
.superdesign/resume.json,其他资料/研究/设计历史：按对象与日期继承,PRESERVE_SPECIFIC_CONTENT_APPLY_GLOBAL_WORKFLOW_COMPATIBILITY,GATE_WORKFLOW_V2.0 §6–6.1
.superdesign/tmp/doc-reach-gate3-before-gate4.html,其他资料/研究/设计历史：按对象与日期继承,PRESERVE_SPECIFIC_CONTENT_APPLY_GLOBAL_WORKFLOW_COMPATIBILITY,GATE_WORKFLOW_V2.0 §6–6.1
.superdesign/tmp/doc-reach-gate3-imported-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,PRESERVE_SPECIFIC_CONTENT_APPLY_GLOBAL_WORKFLOW_COMPATIBILITY,GATE_WORKFLOW_V2.0 §6–6.1
.superdesign/tmp/doc-reach-gate4-approved-v1.html,其他资料/研究/设计历史：按对象与日期继承,PRESERVE_SPECIFIC_CONTENT_APPLY_GLOBAL_WORKFLOW_COMPATIBILITY,GATE_WORKFLOW_V2.0 §6–6.1
.superdesign/tmp/doc-reach-gate4-direction-a-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,PRESERVE_SPECIFIC_CONTENT_APPLY_GLOBAL_WORKFLOW_COMPATIBILITY,GATE_WORKFLOW_V2.0 §6–6.1
.superdesign/tmp/doc-reach-gate5-full-visual-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,PRESERVE_SPECIFIC_CONTENT_APPLY_GLOBAL_WORKFLOW_COMPATIBILITY,GATE_WORKFLOW_V2.0 §6–6.1
.superdesign/tmp/doc-tds-gate4-baseline.html,其他资料/研究/设计历史：按对象与日期继承,PRESERVE_SPECIFIC_CONTENT_APPLY_GLOBAL_WORKFLOW_COMPATIBILITY,GATE_WORKFLOW_V2.0 §6–6.1
.superdesign/tmp/doc-tds-gate4-direction-a.html,其他资料/研究/设计历史：按对象与日期继承,PRESERVE_SPECIFIC_CONTENT_APPLY_GLOBAL_WORKFLOW_COMPATIBILITY,GATE_WORKFLOW_V2.0 §6–6.1
.superdesign/tmp/res-origin-gate4-procurement-evidence-ledger-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,PRESERVE_SPECIFIC_CONTENT_APPLY_GLOBAL_WORKFLOW_COMPATIBILITY,GATE_WORKFLOW_V2.0 §6–6.1
.superdesign/tmp/res-origin-gate4-superdesign-refetch-v0.1.html,其他资料/研究/设计历史：按对象与日期继承,PRESERVE_SPECIFIC_CONTENT_APPLY_GLOBAL_WORKFLOW_COMPATIBILITY,GATE_WORKFLOW_V2.0 §6–6.1
